No.,id,Address,飲水機數量(台),備註,indoor,level,repeat_on,opening_hours,operator,行政區,Address2,Response_Address,Response_X,Response_Y,Similarity,精確程度,Check2
1,1,臺中市豐原區中興路136號,1,(1樓服務台),yes,1,,,臺中市政府衛生局,豐原區,臺中市豐原區中興路136號,臺中市豐原區西勢里5鄰中興路136號,120.71402,24.248292,0.9250,OK,1
2,2,臺中市梧棲區中興路212號,2,(1樓、2樓辦公室各1台),yes,,1-2,,臺中市梧棲區戶政事務所,梧棲區,臺中市梧棲區中興路212號,臺中市梧棲區中正里24鄰中興路212號,120.533898,24.25495,0.9308,OK,1
3,3,臺中市西屯區臺灣大道三段99號,1,文心樓10樓,yes,10,,,臺中市政府法制局,西屯區,臺中市西屯區臺灣大道三段99號,臺中市西屯區惠來里3鄰臺灣大道三段99號,120.647297,24.161989,0.9417,OK,1
4,4,臺中市豐原區陽明街36號,1,2樓,yes,2,,,臺中市政府法制局,豐原區,臺中市豐原區陽明街36號,臺中市豐原區陽明里7鄰陽明街20號,120.720034,24.24723,0.6273,,1
5,5,臺中市烏日區高鐵路一段170號,1,,,,,,臺中市烏日區戶政事務所,烏日區,臺中市烏日區高鐵路一段170號,臺中市烏日區三和里13鄰高鐵路一段170號,120.603323,24.108359,0.9438,OK,1
6,6,臺中市豐原區陽明街36號,3,5樓,yes,5,,,臺中市政府農業局,豐原區,臺中市豐原區陽明街36號,臺中市豐原區陽明里7鄰陽明街20號,120.720034,24.24723,0.6273,,0
7,7,臺中市南屯區萬和路一段28-18號,1,,,,,,臺中市動物保護防疫處,南屯區,臺中市南屯區萬和路一段28-18號,臺中市南屯區豐樂里3鄰萬和路一段28之18號,120.637625,24.13339,0.9150,OK,1
8,8,臺中市清水區北堤路3號,1,,,,,,臺中市海岸資源漁業發展所,清水區,臺中市清水區北堤路3號,臺中市清水區海濱里15鄰北堤路3號,120.523866,24.292276,0.9185,OK,1
9,9,臺中市外埔區六分路352號,1,,,,,,臺中市外埔區戶政事務所,外埔區,臺中市外埔區六分路352號,臺中市外埔區大同里1鄰六分路352號,120.6553,24.332276,0.9465,OK,1
10,10,臺中市東區東勢里福明街118號,1,,,,,,東勢子段四里多功能學苑,東區,臺中市東區東勢里福明街118號,臺中市東區東勢里24鄰福明街118號,120.693726,24.146429,0.9655,OK,1
